JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458662.40772,16.92,,,SG,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458662.48161,16.291,0.079,,V,BDG,,ENSEMBLE,UCAC4 652-053507,AAVSO X24423IF,MEAN OF 5 OBS,0,1.336,Z,,15.878,,SN 2019EIN,BAA-VSS,STD,1,,,
2458662.48472,16.1,,,Vis.,TYS,,155,162,X24431ABA,"""VISUAL FROM SLOOH DIGITAL IMAGE, TRI-G.""",,,Z,,,,SN 2019EIN,AAVSO,STD,,,,
2458663.38067,16.37,,,V,MMAO,,000-BNC-522,,X24469AG,,0,,Z,14.32,,,SN 2019EIN,AAVSO,STD,,,,
2458663.39855 ,16.342,0.016,,V,MAND,,000-BNC-526,000-BNC-526,X24436ER,,0,1.143,Z,15.461,15.461,,SN 2019EIN,AAVSO,STD,,,,
2458663.43049,16.358,0.1,,V,EHEA,,ensemble,000-BNC-523,X24436FB,,0,,Z,,14.557,,SN 2019EIN,AAVSO,STD,,,,
2458663.53819,16.4,,,CV,WKL,,,,X24429HV,Coast Tenerife,0,,Z,16.2,,,SN 2019EIN,BAV,STD,,,,
2458664.42708,16.5,0.1,,CV,BJMC,,,,from Guide9,,0,,Z,15.4,,,SN 2019EIN,AAVSO,STD,,,,
2458664.43113,16.264,0.05,,V,EHEA,,ensemble,000-BNC-523,X24436FB,,0,,Z,,14.576,,SN 2019EIN,AAVSO,STD,,,,
2458664.43623,16.42,,,V,MMAO,,000-BNC-522,,X24469AG,,0,,Z,14.32,,,SN 2019EIN,AAVSO,STD,,,,
2458665.39017,16.49,,,V,MMAO,,000-BNC-522,,X24469AG,,0,,Z,14.32,,,SN 2019EIN,AAVSO,STD,,,,
2458665.41954,16.406,0.05,,V,EHEA,,ensemble,000-BNC-523,X24436FB,,0,,Z,,14.555,,SN 2019EIN,AAVSO,STD,,,,
2458666.32917,17.1,,,TB,JPG,,UCAC4-652-053513,,X24453IX,,0,,Z,14.866,,,SN 2019ein,AAVSO,STD,,,,
2458666.32917,16.5,,,TG,JPG,,UCAC4-652-053513,,X24453IX,,0,,Z,14.323,,,SN 2019ein,AAVSO,STD,,,,
2458666.32917,16.0,,,TR,JPG,,UCAC4-652-053513,,X24453IX,,0,,Z,13.956,,,SN 2019ein,AAVSO,STD,,,,
2458666.36213,16.42,,,V,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
